"method.set"	"coverage.set"	"smaller.set"	"bigger.set"	"truemean.set"	"bootmean.set"	"n.set"	"B.set"	"round.set"	"difference.set"	"length.set"	"distribution.set"
1	0.1	0	0	4874.023	4873.14725606618	1000	1000	10	0.875743933823287	-360.592175	"normal"
2	0.1	0	0	4874.023	4872.59451284225	1000	1000	10	1.42848715775472	-345.94950318755	"normal"
3	0.1	0	0	4874.023	4873.21267392478	1000	1000	10	0.810326075223202	-363.623817339776	"normal"
1	0.2	0	0	4874.023	4872.67486247374	1000	1000	10	1.34813752626087	-364.173475000001	"normal"
2	0.2	0	0	4874.023	4875.6018769234	1000	1000	10	-1.57887692339773	-375.550746425226	"normal"
3	0.2	0	0	4874.023	4876.15103738126	1000	1000	10	-2.12803738125785	-371.273272740807	"normal"
1	0.3	0	0	4874.023	4879.11850926996	1000	1000	10	-5.0955092699578	-349.438775000001	"normal"
2	0.3	0	0	4874.023	4872.76823730108	1000	1000	10	1.2547626989226	-365.088364268405	"normal"
3	0.3	0	0	4874.023	4872.87383861925	1000	1000	10	1.14916138075296	-370.045159534388	"normal"
1	0.4	0	0	4874.023	4872.6239373687	1000	1000	10	1.39906263130251	-350.092625	"normal"
2	0.4	0	0	4874.023	4875.31966023637	1000	1000	10	-1.29666023636855	-345.508528727763	"normal"
3	0.4	0	0	4874.023	4872.99190974022	1000	1000	10	1.0310902597821	-369.284557651701	"normal"
1	0.5	0	0	4874.023	4875.31208085609	1000	1000	10	-1.28908085609237	-350.751175	"normal"
2	0.5	0	0	4874.023	4878.46266721656	1000	1000	10	-4.43966721655579	-346.395222154867	"normal"
3	0.5	0	0	4874.023	4871.94362562852	1000	1000	10	2.07937437147666	-350.278262084456	"normal"
1	0.6	0	0	4874.023	4873.04028019958	1000	1000	10	0.982719800420455	-365.766799999999	"normal"
2	0.6	0	0	4874.023	4869.51083370643	1000	1000	10	4.51216629356622	-342.364209094883	"normal"
3	0.6	0	0	4874.023	4871.98725193641	1000	1000	10	2.03574806358574	-366.145334407574	"normal"
1	0.7	0	0	4874.023	4877.93067933298	1000	1000	10	-3.90767933298321	-358.940625	"normal"
2	0.7	0	0	4874.023	4876.27258803994	1000	1000	10	-2.24958803994105	-351.893566716024	"normal"
3	0.7	0	0	4874.023	4876.11673759054	1000	1000	10	-2.09373759053597	-359.926843584733	"normal"
1	0.8	0	0	4874.023	4875.79159409139	1000	1000	10	-1.76859409138615	-373.873725	"normal"
2	0.8	0	0	4874.023	4871.64753218856	1000	1000	10	2.37546781143828	-342.44611435877	"normal"
3	0.8	0	0	4874.023	4876.06223037284	1000	1000	10	-2.03923037283766	-359.204208088304	"normal"
1	0.9	0	0	4874.023	4876.53738899685	1000	1000	10	-2.51438899684854	-361.433225000001	"normal"
2	0.9	0	0	4874.023	4877.64846104802	1000	1000	10	-3.62546104802459	-370.220421378042	"normal"
3	0.9	0	0	4874.023	4872.04105343946	1000	1000	10	1.98194656053602	-359.011377936825	"normal"
1	1	0	0	4874.023	4872.00222410714	1000	1000	10	2.02077589285727	-359.44895	"normal"
2	1	0	0	4874.023	4875.05628504283	1000	1000	10	-1.03328504282672	-369.893387651413	"normal"
3	1	0	0	4874.023	4873.7663924205	1000	1000	10	0.256607579501178	-366.991989660824	"normal"
1	0.1	0	0	9.888	9.99197578807725	50	10	10	-0.103975788077253	-2.18163723390422	"normal"
2	0.1	0	0	9.888	9.38660670210916	50	10	10	0.501393297890836	-2.42988482281063	"normal"
3	0.1	0	0	9.888	9.73321409638784	50	10	10	0.154785903612158	-3.03999245432827	"normal"
1	0.2	0	0	9.888	9.16094063552823	50	10	10	0.727059364471765	-3.39353022500234	"normal"
2	0.2	0	0	9.888	9.62668078136099	50	10	10	0.261319218639013	-1.83341038440819	"normal"
3	0.2	0	0	9.888	8.92710602627789	50	10	10	0.960893973722111	-3.63089249051693	"normal"
1	0.3	0	0	9.888	9.13498177347405	50	10	10	0.753018226525951	-2.98008142955232	"normal"
2	0.3	0	0	9.888	9.08405786185634	50	10	10	0.803942138143665	-3.17014563359996	"normal"
3	0.3	0	0	9.888	9.43782585032516	50	10	10	0.450174149674842	-2.11983879952828	"normal"
1	0.4	0	0	9.888	9.73980518724766	50	10	10	0.148194812752337	-1.57342899811296	"normal"
2	0.4	0	0	9.888	9.28931765346568	50	10	10	0.59868234653432	-3.08675153449139	"normal"
3	0.4	0	0	9.888	9.36972458007252	50	10	10	0.518275419927482	-3.84110517763368	"normal"
1	0.4	0	0.1	9.888	8.61044074146285	50	10	10	1.27755925853715	-2.51260969500905	"normal"
2	0.5	0	0	9.888	9.34140368074009	50	10	10	0.54659631925991	-2.15486723518934	"normal"
3	0.5	0	0	9.888	9.16589645426956	50	10	10	0.722103545730436	-1.99445464119288	"normal"
1	0.5	0	0.1	9.888	9.23052713737613	50	10	10	0.657472862623873	-2.11061596366115	"normal"
2	0.5	0	0.1	9.888	9.24830967952269	50	10	10	0.63969032047731	-0.699081126018502	"normal"
3	0.6	0	0	9.888	9.40896913155494	50	10	10	0.479030868445056	-2.62528571786373	"normal"
1	0.6	0	0.1	9.888	9.34494135347427	50	10	10	0.543058646525733	-3.3960556310644	"normal"
2	0.6	0	0.1	9.888	8.79357819536827	50	10	10	1.09442180463173	-2.46076270162861	"normal"
3	0.7	0	0	9.888	9.4886296870478	50	10	10	0.399370312952199	-2.3339353588021	"normal"
1	0.7	0	0.1	9.888	9.19158908734083	50	10	10	0.696410912659166	-3.00019596751729	"normal"
2	0.7	0	0.1	9.888	9.46863761584453	50	10	10	0.419362384155468	-4.34399549236345	"normal"
3	0.8	0	0	9.888	8.96016184067152	50	10	10	0.927838159328477	-4.11590056056072	"normal"
1	0.7	0	0.2	9.888	8.54802578678746	50	10	10	1.33997421321254	-2.58301207029092	"normal"
